Ref.* (p.ref),Label* (p.label),Type* (p.fk_product_type),For sale* (p.tosell),For purchase* (p.tobuy),Description (p.description),Public URL (p.url),Customs|Commodity|HS code (p.customcode),Country code (p.fk_country),Accounting code (sale) (p.accountancy_code_sell),Accounting code (sale intra-Community) (p.accountancy_code_sell_intra),Accounting code (sale export) (p.accountancy_code_sell_export),Accounting code (purchase) (p.accountancy_code_buy),Accounting code (purchase intra-community) (p.accountancy_code_buy_intra),Accounting code (purchase import) (p.accountancy_code_buy_export),Note (public) (p.note_public),Note (private) (p.note),Weight (p.weight),Weight unit (p.weight_units),Length (p.length),Length unit (p.length_units),Width (p.width),Width unit (p.width_units),Height (p.height),Height unit (p.height_units),Surface (p.surface),Surface unit (p.surface_units),Volume (p.volume),Volume unit (p.volume_units),Duration (p.duration),Nature of product (raw/manufactured) (p.finished),Selling price (excl. tax) (p.price),Min. selling price (p.price_min),Selling price (inc. tax) (p.price_ttc),Minimum Selling price (inc. tax) (p.price_min_ttc),PriceBaseType (p.price_base_type),Tax Rate (p.tva_tx),Creation date (p.datec),CostPrice (p.cost_price)
ref:PREF890123645,Fitbit Charge 5,0,0,1,Advanced Fitness Tracker,product_link,customs_code,US,876543,,,,,,public_note,private_note,0.05,kg,0.02,m,0.01,m,0.02,m,0.001,m2,0.0001,m3,365d,manufactured,120,100,150,120,HT,20,2023-11-29,100
ref:PREF45678931,Lenovo Legion Y540,0,1,0,Gaming Laptop,product_link,customs_code,CN,321098,,,,,,public_note,private_note,2.3,kg,0.4,m,0.3,m,0.4,m,0.03,m2,0.002,m3,365d,manufactured,1700,1500,2000,1700,HT,20,2023-11-29,1500
ref:PREF012345135,Amazon Kindle Paperwhite,0,0,0,E-reader with Backlight,product_link,customs_code,US,543210,,,,,,public_note,private_note,0.2,kg,0.15,m,0.01,m,0.15,m,0.005,m2,0.0005,m3,365d,manufactured,90,80,110,90,HT,20,2023-11-29,80
ref:PREF678901132,GoPro HERO10 Black,0,1,0,Action Camera,product_link,customs_code,US,876543,,,,,,public_note,private_note,0.15,kg,0.06,m,0.04,m,0.06,m,0.004,m2,0.0003,m3,365d,manufactured,450,400,550,450,HT,20,2023-11-29,400
ref:PREF112233312,Sony PlayStation VR,0,0,0,Virtual Reality Headset,product_link,customs_code,JP,334455,,,,,,public_note,private_note,1.0,kg,0.2,m,0.15,m,0.2,m,0.03,m2,0.002,m3,365d,manufactured,300,250,350,300,HT,20,2023-11-29,250
ref:PREF4455665465,Microsoft Surface Pro 8,0,0,1,2-in-1 Laptop/Tablet,product_link,customs_code,US,778899,,,,,,public_note,private_note,1.5,kg,0.3,m,0.2,m,0.3,m,0.02,m2,0.001,m3,365d,manufactured,1500,1300,1800,1500,HT,20,2023-11-29,1300
ref:PREF7788994565,Canon EOS-1D X Mark III,0,1,0,Professional DSLR Camera,product_link,customs_code,JP,112233,,,,,,public_note,private_note,3.0,kg,0.16,m,0.09,m,0.13,m,0.01,m2,0.001,m3,365d,manufactured,6500,6000,7500,6500,HT,20,2023-11-29,6000
ref:PREF990011312,Apple iPad Air (5th Gen),0,0,1,Tablet with M1 Chip,product_link,customs_code,CN,445566,,,,,,public_note,private_note,0.5,kg,0.25,m,0.2,m,0.3,m,0.015,m2,0.0015,m3,365d,manufactured,700,600,800,700,HT,20,2023-11-29,600
ref:PREF2233449,Samsung QLED Q90A,0,0,0,4K QLED Smart TV,product_link,customs_code,KR,778899,,,,,,public_note,private_note,25.0,kg,1.1,m,0.6,m,1.3,m,0.08,m2,0.01,m3,365d,manufactured,3000,2500,3500,3000,HT,20,2023-11-29,2500
ref:PREF556677789,Microsoft Xbox Elite Series 2 Controller,0,0,1,Customizable Gaming Controller,product_link,customs_code,CN,990011,,,,,,public_note,private_note,0.35,kg,0.2,m,0.1,m,0.2,m,0.015,m2,0.0015,m3,365d,manufactured,180,150,220,180,HT,20,2023-11-29,150
ref:PREF88990098,Logitech MX Master 3,0,1,0,Wireless Mouse,product_link,customs_code,CN,223344,,,,,,public_note,private_note,0.14,kg,0.1,m,0.07,m,0.1,m,0.007,m2,0.0007,m3,365d,manufactured,80,70,100,80,HT,20,2023-11-29,70
ref:PREF11223332,Bose QuietComfort 45,0,0,1,Wireless Noise-Canceling Headphones,product_link,customs_code,US,556677,,,,,,public_note,private_note,0.25,kg,0.2,m,0.05,m,0.2,m,0.02,m2,0.001,m3,365d,manufactured,300,250,350,300,HT,20,2023-11-29,250
ref:PREF445566456,DJI Mavic Air 2,0,1,0,Quadcopter Drone,product_link,customs_code,CN,889900,,,,,,public_note,private_note,0.57,kg,0.18,m,0.14,m,0.18,m,0.008,m2,0.0008,m3,365d,manufactured,850,750,1000,850,HT,20,2023-11-29,750
ref:PREF334455,Sony WH-1000XM4,0,0,1,Wireless Noise-Canceling Headphones,product_link,customs_code,JP,445566,,,,,,public_note,private_note,0.25,kg,0.2,m,0.05,m,0.2,m,0.02,m2,0.001,m3,365d,manufactured,300,250,350,300,HT,20,2023-11-29,250
ref:PREF77889966,Samsung Galaxy Tab S7,0,0,0,Tablet with S Pen,product_link,customs_code,KR,990011,,,,,,public_note,private_note,0.5,kg,0.25,m,0.2,m,0.3,m,0.015,m2,0.0015,m3,365d,manufactured,600,500,700,600,HT,20,2023-11-29,500
ref:PREF112233666,Canon EF 24-70mm f/2.8L II USM,0,0,1,Professional Camera Lens,product_link,customs_code,JP,223344,,,,,,public_note,private_note,0.9,kg,0.15,m,0.1,m,0.15,m,0.015,m2,0.0015,m3,365d,manufactured,1800,1600,2000,1800,HT,20,2023-11-29,1600
ref:PREF44556645,Apple AirPods Pro,0,1,0,Wireless Earbuds,product_link,customs_code,CN,556677,,,,,,public_note,private_note,0.19,kg,0.1,m,0.03,m,0.1,m,0.01,m2,0.0005,m3,365d,manufactured,250,200,300,250,HT,20,2023-11-29,200
ref:PREF77889920,Microsoft Surface Laptop 4,0,0,1,Ultrabook Laptop,product_link,customs_code,US,889900,,,,,,public_note,private_note,1.3,kg,0.3,m,0.2,m,0.3,m,0.02,m2,0.001,m3,365d,manufactured,1300,1100,1600,1300,HT,20,2023-11-29,1100
ref:PREF1122330231,Dell Alienware Aurora R12,0,1,0,Gaming Desktop,product_link,customs_code,CN,112233,,,,,,public_note,private_note,15.0,kg,0.5,m,0.4,m,0.6,m,0.05,m2,0.005,m3,365d,manufactured,2500,2200,2800,2500,HT,20,2023-11-29,2200
ref:PREF44556600,Logitech G Pro X Mechanical Keyboard,0,0,1,Mechanical Gaming Keyboard,product_link,customs_code,CN,334455,,,,,,public_note,private_note,1.1,kg,0.45,m,0.15,m,0.45,m,0.03,m2,0.002,m3,365d,manufactured,150,120,180,150,HT,20,2023-11-29,120
ref:PREF7788990,GoPro HERO9 Black,0,1,0,4K Action Camera,product_link,customs_code,CN,556677,,,,,,public_note,private_note,0.28,kg,0.07,m,0.05,m,0.07,m,0.004,m2,0.0003,m3,365d,manufactured,400,350,500,400,HT,20,2023-11-29,350
ref:PREF112233154,LG Gram 17,0,1,0,Ultra-Light Laptop,product_link,customs_code,KR,223344,,,,,,public_note,private_note,1.35,kg,0.4,m,0.3,m,0.4,m,0.02,m2,0.002,m3,365d,manufactured,1500,1200,1800,1500,HT,20,2023-11-29,1200
ref:PREF445566123,Anker Soundcore Liberty Air 2 Pro,0,0,1,True Wireless Earbuds,product_link,customs_code,CN,556677,,,,,,public_note,private_note,0.06,kg,0.1,m,0.03,m,0.1,m,0.01,m2,0.0005,m3,365d,manufactured,100,80,120,100,HT,20,2023-11-29,80
ref:PREF7788993123,Sony A7 III,0,0,0,Mirrorless Camera,product_link,customs_code,JP,778899,,,,,,public_note,private_note,1.0,kg,0.13,m,0.08,m,0.12,m,0.01,m2,0.001,m3,365d,manufactured,2000,1800,2200,2000,HT,20,2023-11-29,1800
ref:PREF112233474,Razer BlackWidow Elite,0,0,1,Mechanical Gaming Keyboard,product_link,customs_code,CN,223344,,,,,,public_note,private_note,1.5,kg,0.5,m,0.2,m,0.5,m,0.03,m2,0.002,m3,365d,manufactured,200,180,220,200,HT,20,2023-11-29,180
ref:PREF4455663,HP Spectre x360,0,1,0,2-in-1 Laptop,product_link,customs_code,US,556677,,,,,,public_note,private_note,1.3,kg,0.3,m,0.2,m,0.3,m,0.02,m2,0.001,m3,365d,manufactured,1400,1200,1600,1400,HT,20,2023-11-29,1200
ref:PREF77889965,Nintendo Switch OLED Model,0,0,1,Handheld Gaming Console,product_link,customs_code,JP,778899,,,,,,public_note,private_note,0.3,kg,0.2,m,0.1,m,0.2,m,0.015,m2,0.0015,m3,365d,manufactured,350,300,400,350,HT,20,2023-11-29,300
ref:PREF1122339841,Microsoft Sculpt Ergonomic Desktop,0,1,0,Ergonomic Keyboard and Mouse,product_link,customs_code,US,223344,,,,,,public_note,private_note,1.8,kg,0.5,m,0.3,m,0.5,m,0.03,m2,0.002,m3,365d,manufactured,120,100,150,120,HT,20,2023-11-29,100
ref:PREF445566189,Samsung Odyssey G7,0,0,1,Curved Gaming Monitor,product_link,customs_code,KR,556677,,,,,,public_note,private_note,7.0,kg,0.8,m,0.5,m,0.8,m,0.05,m2,0.005,m3,365d,manufactured,800,700,1000,800,HT,20,2023-11-29,700
ref:PREF778899135,OnePlus 9 Pro,0,0,0,Flagship Smartphone,product_link,customs_code,CN,556677,,,,,,public_note,private_note,0.2,kg,0.15,m,0.07,m,0.14,m,0.01,m2,0.0005,m3,365d,manufactured,900,800,1000,900,HT,20,2023-11-29,800
ref:PREF112233741,Bose SoundLink Revolve+,0,0,1,Portable Bluetooth Speaker,product_link,customs_code,US,223344,,,,,,public_note,private_note,1.0,kg,0.2,m,0.15,m,0.2,m,0.03,m2,0.002,m3,365d,manufactured,250,200,300,250,HT,20,2023-11-29,200
ref:PREF445566852,Huawei MateBook X Pro,0,1,0,Ultra-Thin Laptop,product_link,customs_code,CN,556677,,,,,,public_note,private_note,1.3,kg,0.3,m,0.2,m,0.3,m,0.02,m2,0.001,m3,365d,manufactured,1300,1100,1600,1300,HT,20,2023-11-29,1100
ref:PREF778899963,Sennheiser HD 660 S,0,0,1,Open-Back Audiophile Headphones,product_link,customs_code,DE,778899,,,,,,public_note,private_note,0.55,kg,0.25,m,0.1,m,0.25,m,0.015,m2,0.0015,m3,365d,manufactured,500,450,600,500,HT,20,2023-11-29,450
ref:PREF112233951,Dell Alienware m15 R6,0,1,0,Gaming Laptop,product_link,customs_code,CN,223344,,,,,,public_note,private_note,2.5,kg,0.4,m,0.3,m,0.4,m,0.03,m2,0.002,m3,365d,manufactured,2000,1800,2200,2000,HT,20,2023-11-29,1800
ref:PREF445566753,Fitbit Versa 3,0,0,1,Smartwatch with Fitness Tracking,product_link,customs_code,US,556677,,,,,,public_note,private_note,0.04,kg,0.15,m,0.01,m,0.15,m,0.005,m2,0.0005,m3,365d,manufactured,150,120,180,150,HT,20,2023-11-29,120
ref:PREF77889915,Canon EOS M50 Mark II,0,1,0,Mirrorless Camera,product_link,customs_code,JP,778899,,,,,,public_note,private_note,0.55,kg,0.15,m,0.1,m,0.15,m,0.01,m2,0.001,m3,365d,manufactured,700,600,800,700,HT,20,2023-11-29,600
ref:PREF112233548,Xiaomi Mi Electric Scooter Pro 2,0,0,0,Electric Scooter,product_link,customs_code,CN,223344,,,,,,public_note,private_note,14.2,kg,1.2,m,0.2,m,1.0,m,0.02,m2,0.002,m3,365d,manufactured,400,350,500,400,HT,20,2023-11-29,350
